ym:pv:watchID,ym:pv:URL,ym:pv:dateTime,version
3.688982841185535e+18,https://priem.mai.ru/rating/,2024-06-30 23:59:12,v2
3.688986909975512e+18,https://priem.mai.ru/rating/,2024-06-30 23:59:28,v2
4.322900006695076e+18,https://priem.mai.ru/results/orders/2024.php,2024-07-28 23:42:34,v2
4.322904855366075e+18,https://priem.mai.ru/results/orders/2024.php,2024-07-28 23:42:53,v2
4.3229069294313134e+18,https://priem.mai.ru/rating/,2024-07-28 23:43:01,v2
4.3225528286298767e+18,https://priem.mai.ru/,2024-07-28 23:20:30,v2
4.322556767645991e+18,https://priem.mai.ru/,2024-07-28 23:20:45,v2
4.32256069642748e+18,https://priem.mai.ru/rating/,2024-07-28 23:21:00,v2
4.322681557429519e+18,https://priem.mai.ru/,2024-07-28 23:28:41,v2
4.32269162134818e+18,https://priem.mai.ru/base/tuition-fees/,2024-07-28 23:29:19,v2
4.32275713902012e+18,https://priem.mai.ru/base/offers/enterprises/,2024-07-28 23:33:29,v2
4.32279901426942e+18,https://priem.mai.ru/base/score/,2024-07-28 23:36:09,v2
4.322818556209136e+18,http://files.mai.ru/site/education/points2022.pdf,2024-07-28 23:37:24,v2
4.3228231049315615e+18,http://files.mai.ru/site/education/points2020.pdf,2024-07-28 23:37:41,v2
4.322831321990431e+18,http://files.mai.ru/site/education/points2019.pdf,2024-07-28 23:38:12,v2
4.32283286968284e+18,http://files.mai.ru/site/education/points2019.pdf,2024-07-28 23:38:18,v2
4.322833605988712e+18,http://files.mai.ru/site/education/points2018.pdf,2024-07-28 23:38:21,v2
4.322838509693174e+18,http://files.mai.ru/site/education/points2018.pdf,2024-07-28 23:38:40,v2
4.322841794598928e+18,http://files.mai.ru/site/education/points2022.pdf,2024-07-28 23:38:52,v2
4.322847878283788e+18,https://priem.mai.ru/,2024-07-28 23:39:15,v2
4.322960706775286e+18,https://priem.mai.ru/rating/,2024-07-28 23:46:26,v2
4.322966558295982e+18,https://priem.mai.ru/rating/,2024-07-28 23:46:48,v2
4.3230089659015496e+18,https://priem.mai.ru/results/orders/2024.php,2024-07-28 23:49:30,v2
4.3230387840753336e+18,https://priem.mai.ru/results/orders/2024.php,2024-07-28 23:51:24,v2
4.3230423565648527e+18,https://priem.mai.ru/,2024-07-28 23:51:37,v2
4.323043984760111e+18,https://priem.mai.ru/rating/,2024-07-28 23:51:44,v2
4.323046322020287e+18,https://priem.mai.ru/,2024-07-28 23:51:52,v2
4.323046074042024e+18,https://t.me/MAIuniversity,2024-07-28 23:51:52,v2
4.323047663921267e+18,https://priem.mai.ru/results/orders/2024.php,2024-07-28 23:51:58,v2
4.3230588400026255e+18,https://priem.mai.ru/,2024-07-28 23:52:40,v2
4.323062113413628e+18,https://lk.mai.ru/,2024-07-28 23:52:53,v2
4.3230680804874e+18,https://priem.mai.ru/results/orders/2024.php,2024-07-28 23:53:15,v2
4.323118630867304e+18,https://priem.mai.ru/results/orders/2023.php,2024-07-28 23:56:28,v2
4.3231284271521454e+18,https://mai.ru/upload/iblock/2cb/trcgbwsaexjra8opz9cwakaaxi0h2p5t/MAI-_1_.pdf,2024-07-28 23:57:06,v2
4.32315556450481e+18,https://priem.mai.ru/results/orders/2023.php,2024-07-28 23:58:49,v2
6.748606545256777e+17,https://priem.mai.ru/master/programs/item/vychislitelnye-mashiny-kompleksy-sistemy-i-seti/,2024-02-18 22:06:29,v2
6.748651483669473e+17,https://priem.mai.ru/master/programs/item/vychislitelnye-mashiny-kompleksy-sistemy-i-seti/,2024-02-18 22:06:46,v2
